iso3,year,games_type,gold,silver,bronze,total_medals,has_medal,country,population,gdp_current_usd,gdp_per_capita,life_expectancy,adult_literacy_rate,unemployment_rate
URY,2022,Winter,0.0,0.0,0.0,0.0,0,Uruguay,3390913.0,70594110920.0358,20818.6146091144,76.468,98.8499984741211,7.877
TON,2022,Winter,0.0,0.0,0.0,0.0,0,Tonga,105042.0,518180029.413435,4933.07466930785,72.635,,2.302
ZMB,2022,Winter,0.0,0.0,0.0,0.0,0,Zambia,20152938.0,29163782140.4858,1447.12310138035,65.279,79.9751431296375,5.995
PAK,2022,Winter,0.0,0.0,0.0,0.0,0,Pakistan,243700667.0,374890295666.694,1538.3228133171,67.417,,5.485
PER,2022,Winter,0.0,0.0,0.0,0.0,0,Peru,33475438.0,246065570308.155,7350.63034300417,76.834,,3.85
SUR,2022,Winter,0.0,0.0,0.0,0.0,0,Suriname,623164.0,3791603200.0259,6084.43876736445,73.254,,8.16
LUX,2022,Winter,0.0,0.0,0.0,0.0,0,Luxembourg,653103.0,80801680397.0139,123719.658915996,82.9463414634147,,4.588
DJI,2022,Winter,0.0,0.0,0.0,0.0,0,Djibouti,1137096.0,3562814908.76149,3133.25779772463,65.54,,26.307
SEN,2022,Winter,0.0,0.0,0.0,0.0,0,Senegal,17651103.0,27783332222.6759,1574.0281059306,67.788,,2.837
VIR,2022,Winter,0.0,0.0,0.0,0.0,0,,,,,,,
GUY,2022,Winter,0.0,0.0,0.0,0.0,0,Guyana,821637.0,14718388489.2086,17913.4928066879,69.888,,12.013
LBN,2022,Winter,0.0,0.0,0.0,0.0,0,Lebanon,5744489.0,20992421948.8081,3654.35845534878,78.003,,11.6
TZA,2022,Winter,0.0,0.0,0.0,0.0,0,Tanzania,64711821.0,75769974505.0106,1207.85302734375,66.879,78.2099990844727,2.588
IRQ,2022,Winter,0.0,0.0,0.0,0.0,0,Iraq,44070551.0,287372232137.931,6520.73154560584,72.037,,15.511
HTI,2022,Winter,0.0,0.0,0.0,0.0,0,Haiti,11503606.0,20253551920.5516,1760.62635668777,63.948,,14.635
MCO,2022,Winter,0.0,0.0,0.0,0.0,0,Monaco,38931.0,8800430486.17137,226052.001905201,85.746,,
NPL,2022,Winter,0.0,0.0,0.0,0.0,0,Nepal,29715436.0,41182939600.6209,1385.91066274851,70.087,,10.844
AUS,2020,Summer,17.0,7.0,22.0,46.0,1,Australia,25649248.0,1328414058378.38,51791.540179984,83.2,,6.456
AUT,2020,Summer,1.0,1.0,5.0,7.0,1,Austria,8916864.0,434397601557.696,48716.4098900349,81.1926829268293,,5.201
BLR,2020,Summer,1.0,3.0,3.0,7.0,1,Belarus,9379952.0,61371673344.7424,6542.85579976768,72.1385609756098,,4.049
BEL,2020,Summer,3.0,1.0,3.0,7.0,1,Belgium,11538604.0,529694473501.791,45906.2875805246,80.6951219512195,,5.545
CAN,2020,Summer,7.0,7.0,10.0,24.0,1,Canada,38028638.0,1655684730000.19,43537.839298904,81.5351219512195,,9.657
CZE,2020,Summer,4.0,4.0,3.0,11.0,1,Czechia,10697858.0,251109660602.536,23472.8915454417,78.2268292682927,,2.55
EST,2020,Summer,1.0,0.0,1.0,2.0,1,Estonia,1329522.0,31820771493.8974,23933.9939421065,78.5951219512195,,6.956
FIN,2020,Summer,0.0,0.0,2.0,2.0,1,Finland,5529543.0,270000311606.226,48828.6846862799,81.9317073170732,,7.759
FRA,2020,Summer,10.0,12.0,11.0,33.0,1,France,67601110.0,2647926055110.05,39169.8606000707,82.1756097560976,,8.009
DEU,2020,Summer,10.0,11.0,16.0,37.0,1,Germany,83160871.0,3940142541354.1,47379.765194548,81.0414634146342,,3.881
HUN,2020,Summer,6.0,7.0,7.0,20.0,1,Hungary,9670419.0,158468487754.196,16386.9308821258,75.419512195122,,4.25
ITA,2020,Summer,10.0,10.0,20.0,40.0,1,Italy,59438851.0,1907481094079.23,32091.4866621366,82.1951219512195,,9.164
JPN,2020,Summer,27.0,14.0,17.0,58.0,1,Japan,126261000.0,5054068005376.28,40028.7341726762,84.56,,2.809
LVA,2020,Summer,1.0,0.0,1.0,2.0,1,Latvia,1900449.0,33379927434.6149,17564.2321549354,75.1853658536585,,8.098
NLD,2020,Summer,10.0,12.0,14.0,36.0,1,Curacao,154947.0,2534327592.49914,16356.0933254541,76.501,,3.526
NLD,2020,Summer,10.0,12.0,14.0,36.0,1,Netherlands,17441500.0,932560861701.17,53467.9277413737,81.3585365853659,,3.82
NZL,2020,Summer,7.0,6.0,7.0,20.0,1,New Zealand,5090200.0,213029554653.687,41850.92032802,82.2560975609756,,4.595
NOR,2020,Summer,4.0,2.0,2.0,8.0,1,Norway,5379475.0,367633418886.627,68340.0181033702,83.209756097561,,4.424
CHN,2020,Summer,38.0,32.0,19.0,89.0,1,China,1411100000.0,14996414166715.1,10627.4637989619,78.019,96.7399978637695,5.0
POL,2020,Summer,4.0,5.0,5.0,14.0,1,Poland,37515748.0,605914186117.953,16150.9291009726,76.4,,3.155
RUS,2020,Summer,20.0,28.0,23.0,71.0,1,Russian Federation,145245148.0,1493075894362.14,10108.3271484375,71.3387804878049,,5.62
PRK,2020,Summer,6.0,4.0,10.0,20.0,1,"Korea, Dem. People's Rep.",26136312.0,,,72.783,,2.948
SVK,2020,Summer,1.0,2.0,1.0,4.0,1,Slovak Republic,5458827.0,107732602896.441,19735.4858280801,76.8658536585366,,6.719
SVN,2020,Summer,3.0,1.0,1.0,5.0,1,Slovenia,2102419.0,53384760135.1581,25392.0651093612,80.5317073170732,,4.971
