country,year,games_type,iso3,actual_medals,predicted_medals,predicted_proba,error,abs_error
Luxembourg,2020,Summer,LUX,0.0,0.0,0.4085964,0.0,0.0
Djibouti,2020,Summer,DJI,0.0,0.0,0.086266816,0.0,0.0
Senegal,2020,Summer,SEN,0.0,6.366366863250732,0.7498117,-6.366366863250732,6.366366863250732
,2020,Summer,VIR,0.0,0.0,0.49708807,0.0,0.0
Guyana,2020,Summer,GUY,0.0,0.0,0.14407475,0.0,0.0
Lebanon,2020,Summer,LBN,0.0,4.702752113342285,0.8933005,-4.702752113342285,4.702752113342285
Tanzania,2020,Summer,TZA,0.0,4.064380645751953,0.7998241,-4.064380645751953,4.064380645751953
Iraq,2020,Summer,IRQ,0.0,8.358013153076172,0.94048434,-8.358013153076172,8.358013153076172
Haiti,2020,Summer,HTI,0.0,0.0,0.48342383,0.0,0.0
Monaco,2020,Summer,MCO,0.0,0.0,0.033352807,0.0,0.0
Nepal,2020,Summer,NPL,0.0,14.06085205078125,0.8868305,-14.06085205078125,14.06085205078125
